x,y,z
1532333024.04,3976180.494977728731648907219094,-708091.346595383925963376501400,5432381.669194082480240682822367
1532333029.04,3987844.305604465811856510890793,-727009.845635840477160103838413,5454023.819145305630052810823812
1532333034.04,3999708.515808139729429645042314,-746356.215741215796399473723774,5476079.798936731067029327272744
1532333039.04,4011433.700284367428892752322150,-765687.981412601692030760258950,5497964.049402601902031414665235
1532333044.04,4023020.877002894347984634905052,-785004.602711170570504629047719,5519677.735277322756791448263739
1532333049.04,4034471.131509858924674245466994,-804305.662051552146702392070860,5541222.148026010898366096220425
1532333054.04,4045785.530733934881694329314432,-823590.750620041128370904507786,5562598.556714985183663432403499
1532333059.04,4056965.123445229998514337940407,-842859.468092334988045923236489,5583808.208541846561080563843266
1532333064.04,4068010.940699626074910807491603,-862111.422361932019966831943549,5604852.329349267766252802794834
1532333069.04,4078923.996269045778909576149633,-881346.229278689179750670838166,5625732.124122927845760859863713
1532333074.04,4089705.287058264336633362261670,-900563.512397119051665441950260,5646448.777474323953266617321746
1532333079.04,4100355.793508732914357568182567,-919762.902733971520519765682614,5667003.454108851924506050482020
1532333084.04,4110876.479989898854939922154751,-938944.038534716286283373324835,5687397.299279941357299087488442
1532333089.04,4121268.295178560859715130673985,-958106.565048523171115528886696,5707631.439229564079296669643969
1532333094.04,4131532.172426614397830946473567,-977250.134311390099074298940608,5727706.981615599319996525694251
1532333099.04,4141669.030117699842908864007407,-996374.404937064583851353941493,5747625.015926708013943362508281
1532333104.04,4151679.772013096573153434520642,-1015479.041915415692702620984136,5767386.613885026178891056610772
1532333109.04,4161565.287587324611678512793359,-1034563.716417962796785049644021,5786992.829837083323860317251556
1532333114.04,4171326.452353764950318103013934,-1053628.105610252572003351844043,5806444.701133504165929763483290
1532333119.04,4180964.128180694032361267961608,-1072671.892470787510318422202352,5825743.248497745717963614110919
1532333124.04,4190479.163598087922477155330393,-1091694.765616250186536374765114,5844889.476384364579490905062353
1532333129.04,4199872.394095484995331035133408,-1110696.419132763539751714358958,5863884.373327074750427391683329
